# TYPE: validation-run — expected intents for T039; cost_call_* from the COST-block callable
bar,event_ts,intent_ts,action,qty,limit,cost_call_bps,cost_call_usd,edge_bps,gate_pass,module_state,note
0,1789045200000000000,,HOLD,0,,1.865685424949238,93.2843,2.0,False,OK,flat
1,1789048800000000000,,HOLD,0,,1.865685424949238,93.2843,2.0,False,OK,flat
2,1789052400000000000,,HOLD,0,,1.865685424949238,93.2843,2.0,False,OK,flat
3,1789056000000000000,1789056000000000000,LONG,996,,1.865685424949238,93.2843,12.0,True,OK,entry
4,1789059600000000000,,HOLD,0,,1.865685424949238,93.2843,4.0,True,OK,hold
5,1789063200000000000,,HOLD,0,,1.865685424949238,93.2843,3.0,False,OK,hold
6,1789066800000000000,1789066800000000000,BUY,1000,,1.865685424949238,93.2843,3.0,False,OK,exit
7,1789070400000000000,,HOLD,0,,1.865685424949238,93.2843,0.05,False,OK,gate-block
8,1789074000000000000,,HOLD,0,,1.865685424949238,93.2843,4.0,True,UNKNOWN,invalid-input
9,1789077600000000000,,HOLD,0,,1.865685424949238,93.2843,12.0,True,OFF,kill-trip
10,1789081200000000000,,HOLD,0,,1.865685424949238,93.2843,12.0,True,OFF,kill-tripped
11,1789084800000000000,,HOLD,0,,1.865685424949238,93.2843,2.0,False,OFF,kill-tripped
