# TYPE: validation-run
event_ts,symbol,open,high,low,close,volume,sig,gate,stop_dist
1788882300000000000,AAA,250.0171,250.2171,249.817,250.0421,100000,1.0,1,1.0
1788882360000000000,AAA,250.0962,250.2963,249.8962,250.1212,107919,3.0,1,1.0
1788882420000000000,AAA,250.0322,250.2323,249.8322,250.0572,115838,6.5,1,1.0
1788882480000000000,AAA,249.9447,250.1447,249.7447,249.9697,123757,8.0,1,1.0
1788882540000000000,AAA,250.0081,250.2081,249.8081,250.0331,131676,7.0,1,1.0
1788882600000000000,AAA,250.0579,250.2579,249.8578,250.0829,139595,4.0,1,1.0
1788882660000000000,AAA,249.9619,250.1618,249.7619,249.9869,147514,0.5,1,1.0
1788882720000000000,AAA,249.9188,250.1188,249.7189,249.9438,105433,-1.0,1,1.0
1788882780000000000,AAA,250.0095,250.2095,249.8095,250.0345,113352,-6.0,1,1.0
1788882840000000000,AAA,250.0146,250.2146,249.8145,250.0396,121271,-7.5,1,1.0
1788882900000000000,AAA,249.9096,250.1095,249.7097,249.9346,129190,-4.0,1,1.0
1788882960000000000,AAA,249.9204,250.1203,249.7204,249.9453,137109,-0.5,1,1.0
