# TYPE: validation-run — synthetic 12-bar tape for T037; all numbers synthetic [example]
bar,event_ts,asof_ts,symbol,close,signal_z,edge_bps,notional,adv_pct,adv_shares,stop_bps,urgency,market_state,daily_pnl_pct
0,1789045200000000000,1789045200000250000,XYZ,99.63,0.6,2.0,100000,0.5,2000000,25,normal,CONTINUOUS_TRADING,0.05
1,1789048800000000000,1789048800000250000,XYZ,99.58,1.0,2.0,100000,0.5,2000000,25,normal,CONTINUOUS_TRADING,0.05
2,1789052400000000000,1789052400000250000,XYZ,99.46,1.6,2.0,100000,0.5,2000000,25,normal,CONTINUOUS_TRADING,0.05
3,1789056000000000000,1789056000000250000,XYZ,99.53,2.4,35.0,100000,0.5,2000000,25,normal,CONTINUOUS_TRADING,0.05
4,1789059600000000000,1789059600000250000,XYZ,99.6,1.8,4.0,100000,0.5,2000000,25,normal,CONTINUOUS_TRADING,0.05
5,1789063200000000000,1789063200000250000,XYZ,99.49,1.4,3.0,100000,0.5,2000000,25,normal,CONTINUOUS_TRADING,0.05
6,1789066800000000000,1789066800000250000,XYZ,99.67,0.25,3.0,100000,0.5,2000000,25,normal,CONTINUOUS_TRADING,0.05
7,1789070400000000000,1789070400000250000,XYZ,100.02,2.6,0.05,100000,0.5,2000000,25,normal,CONTINUOUS_TRADING,0.05
8,1789074000000000000,1789074000000250000,XYZ,100.25,1.8,4.0,100000,0.5,2000000,25,normal,HALTED,0.05
9,1789077600000000000,1789077600000250000,XYZ,100.3,2.4,35.0,100000,0.5,2000000,25,normal,CONTINUOUS_TRADING,-1.1
10,1789081200000000000,1789081200000250000,XYZ,100.12,2.4,35.0,100000,0.5,2000000,25,normal,CONTINUOUS_TRADING,0.05
11,1789084800000000000,1789084800000250000,XYZ,100.09,0.6,2.0,100000,0.5,2000000,25,normal,CONTINUOUS_TRADING,0.05
