# TYPE: validation-run
# generated by run() reference in modules/tests/test_S094.py; do not hand-edit
bin,computed_at,direction,confidence,capital,module_state,edge_bps,cost_bps,rvol,block_imb,trigger,net_usd,cum_usd,gate_pass,fill_event_ts
1,1788940200000000000,0,0.0,0.0,OK,0.0,6.25,1.1083333333333334,0.0,0,0.0,0.0,0,1788940200000000001
2,1788940500000000000,0,0.0,0.0,OK,0.0,6.25,0.8666666666666667,0.0,0,0.0,0.0,0,1788940500000000001
3,1788940800000000000,0,0.0,0.0,OK,0.0,6.25,1.1857142857142857,0.0,0,0.0,0.0,0,1788940800000000001
4,1788941100000000000,1,0.8583333333333333,0.42916666666666664,OK,0.0,6.25,3.433333333333333,1.0,1,0.0,0.0,0,1788941100000000001
5,1788941400000000000,0,0.0,0.0,OK,0.0,6.25,1.5818181818181818,0.0,0,0.0,0.0,0,1788941400000000001
6,1788941700000000000,0,0.0,0.0,OK,0.0,6.25,0.88,0.0,0,0.0,0.0,0,1788941700000000001
7,1788942000000000000,0,0.0,0.0,OK,0.0,6.25,0.9583333333333334,0.0,0,0.0,0.0,0,1788942000000000001
8,1788942300000000000,0,0.0,0.0,OK,0.0,6.25,1.26,0.0,0,0.0,0.0,0,1788942300000000001
9,1788942600000000000,-1,0.7136363636363636,0.3568181818181818,OK,87.50000000000036,6.25,2.8545454545454545,-1.0,1,650.0000000000028,650.0000000000028,1,1788942600000000001
10,1788942900000000000,0,0.0,0.0,OK,0.0,6.25,1.5538461538461539,0.0,0,0.0,650.0000000000028,0,1788942900000000001
11,1788943200000000000,0,0.0,0.0,OK,0.0,6.25,1.1,0.0,0,0.0,650.0000000000028,0,1788943200000000001
12,1788943500000000000,0,0.0,0.0,OK,0.0,6.25,0.89,0.0,0,0.0,650.0000000000028,0,1788943500000000001
